ticker	pdate	ptime	head_
USB	Dec-02-20	09:00AM	U.S. Bancorp to speak at the Goldman Sachs U.S. Financial Services Conference Business Wire
USB	Nov-19-20	09:08AM	Strategic Moves Support U.S. Bancorp (USB), Cost Woes Prevail Zacks
USB	Nov-17-20	12:42PM	Is Today the Right Time to Buy U.S. Bancorp? Motley Fool
USB	Nov-17-20	11:12AM	Why Did Warren Buffetts Berkshire Hathaway Fall Out of Love With JPMorgan? Barrons.com
USB	Nov-17-20	07:34AM	U.S. Bancorp (USB) Enhances Global Fund Services Offerings Zacks
USB	Nov-16-20	02:00AM	U.S. Bank expands its Global Fund Services offerings, opens Luxembourg office Business Wire
USB	Nov-13-20	09:02AM	Retracement in Bank Stocks Provides Buying Opportunity Investopedia
USB	Nov-10-20	05:37PM	Bank Stocks Still Have Room to Run Even With Challenges, Analyst Says Barrons.com
USB	Nov-05-20	08:47AM	Bank Stocks Tank on Sharp Fall in Treasury Yields, Uncertainty Zacks
USB	Oct-30-20	06:56AM	Is US Bancorp a Buy? Motley Fool
USB	Oct-29-20	10:00AM	U.S. Bank announces new leaders in Fixed Income & Capital Markets Business Wire
USB	Oct-29-20	09:00AM	U.S. Bancorp to speak at the BancAnalysts Association of Boston Conference Business Wire
USB	Oct-27-20	11:00AM	U.S. Bank Names Andrew Aye Colorado Market President Business Wire
USB	Oct-26-20	04:02PM	Were Hedge Funds Right About U.S. Bancorp (USB)? Insider Monkey
USB	Oct-24-20	06:00AM	Are U.S. Bancorp's Cost Cutting Plans a Preview of What's to Come in the Industry? Motley Fool
USB	Oct-21-20	08:01AM	KeyCorp's (KEY) Q3 Earnings Beat, Revenues & Expenses Up Y/Y Zacks
USB	Oct-16-20	09:03AM	Warren Buffett embodies everything Make-A-Wish does: Richard Davis Yahoo Finance Video
USB	Oct-16-20	08:36AM	State Street (STT) Q3 Earnings Beat on Fee Income, Costs Dip Zacks
USB	Oct-16-20	08:00AM	Bank Stock Roundup: Q3 Earnings Season Unfolds, JPM, WFC & C Top Estimates Zacks
USB	Oct-14-20	01:00PM	US Bancorp (USB) Q3 2020 Earnings Call Transcript Motley Fool
USB	Oct-14-20	11:35AM	U.S. Bancorp Credits Business Mix for 3rd-Quarter-Profit Beat TheStreet.com
USB	Oct-14-20	10:39AM	U.S. Bancorp Beats Estimates on Revenue Gains, Lower Expected Credit Losses Motley Fool
USB	Oct-14-20	09:59AM	Dow Jones Today, Stocks Rise As Goldman Sachs Tops Analyst Views; Netflix Rallies On Target Hike Investor's Business Daily
USB	Oct-14-20	09:00AM	How coronavirus forced the Make-A-Wish foundation to change its strategy Yahoo Finance Video
USB	Oct-14-20	08:44AM	U.S. Bancorp (USB) Q3 Earnings Top Estimates, Costs Increase Zacks
USB	Oct-14-20	07:17AM	Recap: U.S. Bancorp Q3 Earnings Benzinga
USB	Oct-14-20	06:45AM	U.S. Bancorp reports third quarter 2020 results Business Wire
USB	Oct-13-20	10:37AM	Muted Loan Growth to Mar Truist Financial (TFC) Q3 Earnings Zacks
USB	Oct-13-20	10:14AM	US Bancorp Earnings Preview Benzinga
USB	Oct-12-20	08:56AM	Mortgage Banking to Support U.S. Bancorp's (USB) Q3 Earnings Zacks
USB	Oct-11-20	03:29PM	Goldman Sachs, United Airlines, and Other Stocks to Watch Wednesday Barrons.com
USB	Oct-11-20	09:37AM	Earnings season starts with big banks: What to know in the week ahead Yahoo Finance
USB	Oct-09-20	08:26AM	Bank Stock Roundup: Citi Faces Penalty, BofA & Wells Fargo Restructure Business Zacks
USB	Oct-09-20	06:52AM	3 Great Income Stocks to Buy Right Now Motley Fool
USB	Oct-07-20	01:56PM	BofA Upgrades US Bancorp On Headwinds Giving Way To Tailwinds Benzinga
USB	Sep-30-20	09:40AM	American Banker names U.S. Bank leaders to 2020 Most Powerful Women in Banking lists Business Wire
USB	Sep-28-20	05:00PM	U.S. Bancorp Provides Schedule For 4Q20 and 2021 Earnings Conference Calls Business Wire
USB	Sep-26-20	06:52AM	Wall Street Has Given Up on These 3 Stocks, and That's a Huge Mistake Motley Fool
USB	Sep-24-20	07:13AM	JPMorgan Has Grown Deposits Faster Than Any Large Retail Bank Motley Fool
USB	Sep-24-20	06:41AM	U.S. Bancorp (NYSE:USB) Will Pay A US$0.42 Dividend In Four Days Simply Wall St.
USB	Sep-23-20	07:09AM	Better Buy: Bank of America vs. US Bancorp Motley Fool
USB	Sep-19-20	07:11AM	3 Stocks Everyone Else Hates (But I Love) Motley Fool
USB	Sep-18-20	07:07AM	Buy These 2 Stocks Today Before Another Market Rally Motley Fool
USB	Sep-17-20	12:34PM	Reflecting on U.S. Bancorp's (NYSE:USB) Share Price Returns Over The Last Year Simply Wall St.
USB	Sep-17-20	06:06AM	3 High-Yield Dividend Stocks Begging to Be Bought Motley Fool
USB	Sep-16-20	05:05PM	Analyst Report: U.S. Bancorp Morningstar Research
USB	Sep-16-20	09:00AM	U.S. Bancorp Announces Third Quarter Earnings Conference Call Details Business Wire
USB	Sep-16-20	07:21AM	3 Bargain-Bin Buffett Stocks to Buy Right Now Motley Fool
USB	Sep-15-20	08:56PM	U.S. Bancorp Declares New Dividend; Yield Is 4.5% Motley Fool
USB	Sep-15-20	05:00PM	U.S. Bank announces quarterly dividends Business Wire
USB	Sep-14-20	05:16PM	5 Banks Trading With Low Price-Earnings Ratios GuruFocus.com
USB	Sep-11-20	09:00AM	U.S. Bank Announces Redemption of Senior Notes Business Wire
USB	Sep-08-20	01:52PM	Warren Buffett Continues to Cash Out of Wells Fargo GuruFocus.com
USB	Sep-08-20	10:04AM	3 Great Stocks Robinhood Investors Are Overlooking Motley Fool
USB	Sep-08-20	09:00AM	U.S. Bancorp to Speak at the Barclays Global Financial Services Conference Business Wire
USB	Sep-01-20	06:06AM	3 Top Stocks That'll Make You Richer in September (and Beyond) Motley Fool
USB	Aug-31-20	11:23PM	U.S. Bancorp (USB): Hedge Funds Taking Some Chips Off The Table Insider Monkey
USB	Aug-31-20	09:40AM	Billionaire George Soros Places Bet on 3 High-Yield Dividend Stocks TipRanks
USB	Aug-22-20	07:11AM	The Best Bank Stock to Buy Right Now Motley Fool
USB	Aug-21-20	11:13PM	Edited Transcript of USB.N earnings conference call or presentation 15-Jul-20 1:00pm GMT Thomson Reuters StreetEvents
USB	Aug-21-20	05:51AM	Got $300? These 3 Stocks Are No-Brainer Buys Motley Fool
USB	Aug-18-20	08:47AM	U.S. Bank Outlines Details of $15 Million Rebuild and Transform Fund Business Wire
