GS-J	26.799	0.209	0.79	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 10:39:21
GS-K	28.4415	0.2015	0.71	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 10:39:21
GS-N	26.02	0.12	0.46	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 10:39:21
GS-A	23.724	0.354	1.51	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 10:39:21
GS-C	24.67	0.27	1.11	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 10:39:21
GS-D	24.358	0.198	0.82	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 10:39:21
GS	299.91	-2.3	-0.76	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 10:39:21
OSK	94.34	-1.59	-1.66	Oshkosh Corporation to announce fiscal 2021 first quarter earnings January 27, 2021	2021-01-13 10:38:00
DGX	127.23	1.01	0.8	Quest Diagnostics To Release Fourth Quarter And Full Year 2020 Financial Results On February 4	2021-01-13 10:35:00
BTCUSD	34669.48	606.71	1.78	Yearn proposes “buyback and build” strategy for YFI holders	2021-01-13 10:34:16
FOSL	10.17	-0.42	-3.97	Annual Statement of Changes in Beneficial Ownership (5)	2021-01-13 10:33:36
SCM	10.66	0.3	2.9	Notice by Closed-end Investment Companies of Intention to Call or Redeem Their Own Securities (n-23c-2)	2021-01-13 10:33:05
HOFT	32.77	-0.27	-0.82	Statement of Changes in Beneficial Ownership (4)	2021-01-13 10:33:00
TEF	4.83	0.39	8.78	Telefonica Sells Telecommunication Towers to American Towers for $9.4B	2021-01-13 10:31:28
REFR	3.382	0.272	8.75	Current Report Filing (8-k)	2021-01-13 10:30:55
SCM	10.66	0.3	2.9	Current Report Filing (8-k)	2021-01-13 10:30:50
RESI	0	0	0	Amended Statement of Beneficial Ownership (sc 13d/a)	2021-01-13 10:30:35
RRBI	52.025	-0.375	-0.72	Current Report Filing (8-k)	2021-01-13 10:26:04
WISH	23.07	2.13	10.17	J.P. Morgan Predicts 30%-Plus Rally for These 2 Stocks	2021-01-13 10:25:40
KVHI	11.66	-0.43	-3.56	KVH Industries’ CEO & COO/CFO to Speak at 23rd Annual Needham Growth Conference	2021-01-13 10:21:30
VXX	16.5486	-0.2014	-1.2	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 10:20:27
VXX	16.5486	-0.2014	-1.2	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 10:20:17
BGFV	12.156	-0.744	-5.77	Current Report Filing (8-k)	2021-01-13 10:19:40
DLOC	0.035	0.0143	68.67	Current Report Filing (8-k)	2021-01-13 10:19:10
TGT	198.21	-0.89	-0.45	Current Report Filing (8-k)	2021-01-13 10:16:14
MDGS	2.27	0.05	2.25	Report of Foreign Issuer Pursuant to Rule 13a-16 or 15d-16 (6-k)	2021-01-13 10:15:38
CAS.U	10.74	0.14	1.32	Cascade Acquisition Corp. Announces the Separate Trading of its Class A Common Stock and Warrants, Commencing January 15, 202...	2021-01-13 10:14:26
CAS	14.81	-0.06	-0.4	Cascade Acquisition Corp. Announces the Separate Trading of its Class A Common Stock and Warrants, Commencing January 15, 202...	2021-01-13 10:14:26
CWGL	5.4	0.05	0.93	Statement of Ownership (sc 13g)	2021-01-13 10:13:19
MDGS	2.27	0.05	2.25	Medigus Closes $8.4 Million Underwritten Public Offering of American Depositary Shares	2021-01-13 10:13:09
PENN	104.605	-1.345	-1.27	Choice Hotels And Penn National Gaming Team Up To Offer More Fun And Entertainment Through The Ascend Hotel Collection	2021-01-13 10:11:00
CHH	106.2	-1.38	-1.28	Choice Hotels And Penn National Gaming Team Up To Offer More Fun And Entertainment Through The Ascend Hotel Collection	2021-01-13 10:11:00
GLAXF	18.36	0.06	0.33	Report of Foreign Issuer Pursuant to Rule 13a-16 or 15d-16 (6-k)	2021-01-13 10:06:57
GSK	37.7001	0.2401	0.64	Report of Foreign Issuer Pursuant to Rule 13a-16 or 15d-16 (6-k)	2021-01-13 10:06:57
JPM-C	27.695	0.285	1.04	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 10:06:39
JPM-D	27.255	0.235	0.87	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 10:06:39
JPM-H	25.75	0.02	0.08	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 10:06:39
JPM	138.14	-2.08	-1.48	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 10:06:39
JPM-G	25.59	0.04	0.16	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 10:06:39
JPM-J	26.31	0.16	0.61	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 10:06:39
AC	35.55	0.14	0.4	Air Canada Implements Additional Capacity and Workforce Reductions	2021-01-13 10:05:54
BMTX	15.025	-0.095	-0.63	BM Technologies – One of the First Publicly Traded Neo Banking Fintechs of 2021	2021-01-13 10:05:45
VXX	16.5486	-0.2014	-1.2	Free Writing Prospectus - Filing Under Securities Act Rules 163/433 (fwp)	2021-01-13 10:05:23
F	9.73	-0.05	-0.51	Energy, Financials Leading The Sector Battle This Week While Tech Takes Back Seat	2021-01-13 10:03:04
INTZ	22.6	2.47	12.27	Current Report Filing (8-k)	2021-01-13 10:02:04
INTZ	22.6	2.47	12.27	Current Report Filing (8-k)	2021-01-13 10:02:04
